id,wenzitext,errortext,clicktimes,tips1,tips2
67,人有逆天之时，天无绝人之路,6,3,人会遇到困难，但总有解决办法,第一句：人有逆天之时
68,偶应非熊兆，尊为帝者师,5,3,刘基《题太公钓渭图》,第一句：偶应非熊兆
69,莲花莲叶柳塘西，疏雨疏风斜照低,7,3,王夫之《雨余小步》,第一句：莲花莲叶柳塘西
70,一寸丹心图报国，两行清泪为思亲,7,3,于谦《立春日感怀》,第一句：一寸丹心图报国
71,生平未报国，留作忠魂补,5,3,杨继盛《就义诗》,第一句：生平未报国
72,闲来写就青山卖，不使人间造孽钱,7,3,唐寅《言志》,第一句：闲来写就青山卖
73,风暖有人能作伴，日长无事可思量,7,3,杨基《浣溪沙·上巳》,第一句：风暖有人能作伴
74,千里江山昨梦非，转眼秋光如许,7,3,文征明《念奴娇·中秋对月》,第一句：千里江山昨梦非
75,我爱山中夏，空冥花雨下,5,3,元鹏《山中四咏》,第一句：我爱山中夏
76,世人若被明日累，春去秋来老将至,7,3,钱福《明日歌》,第一句：世人若被明日累
77,百年明日能几何请君听我明日歌,7,3,钱福《明日歌》,第一句：百年明日能几何请君听我明日歌
78,笔底明珠无处卖，闲抛闲掷野藤中,7,3,徐渭《题葡萄图》,第一句：笔底明珠无处卖
79,歌泣不成天已暮，悲风日夜起江生,7,3,魏禧《登雨花台》,第一句：歌泣不成天已暮
80,无情明月，有情归梦，同到幽闺,7,3,刘基《眼儿媚·萋萋芳草小楼西》,第一句：无情明月
81,浩气还太虚，丹心照千古,5,3,杨继盛《就义诗》,第一句：浩气还太虚
82,白发渔樵江渚上，惯看秋月春风,7,3,杨慎《临江仙·滚滚长江东逝水》,第一句：白发渔樵江渚上
83,眼前直下三千字，胸次全无一点尘,7,3,于谦《观书》,第一句：眼前直下三千字
84,高田如楼梯，平田如棋局,5,3,杨慎《出郊》,第一句：高田如楼梯
85,春风一夜到衡阳，楚水燕山万里长,7,3,王恭《春雁》,第一句：春风一夜到衡阳
86,得闭口时须闭口，得放手时须放手,7,3,适时沉默与放手,第一句：得闭口时须闭口
87,大胆天下去得，小心寸步难行,6,3,勇敢前行，谨慎行事,第一句：大胆天下去得
88,我愿平东海，身沉心不改,5,3,顾炎武《精卫·万事有不平》,第一句：我愿平东海
89,关河底事空留客岁月无情不贷人,7,3,于谦《立春日感怀》,第一句：关河底事空留客岁月无情不贷人
90,一年三百六十日，多是横戈马上行,7,3,戚继光《马上作》,第一句：一年三百六十日
91,太平本是将军定，不许将军见太平,7,3,战争胜利者未必享受和平,第一句：太平本是将军定
92,繁霜尽是心头血，洒向千峰秋叶丹,7,3,戚继光《望阙台》,第一句：繁霜尽是心头血
93,日暮平沙秋草乱，一双白鸟避人飞,7,3,袁宏道《感事》,第一句：日暮平沙秋草乱
94,闻名不如见面，见面胜似闻名,6,3,见面后印象更深刻,第一句：闻名不如见面
95,药医不死病，佛度有缘人,5,3,药治可愈之病，佛渡有缘之人,第一句：药医不死病
96,厌名利之谈者，未必尽忘名利之情,7,3,嘴上说不爱名利，心中未必真放下,第一句：厌名利之谈者
97,百花发时我不发，我若发时都吓杀,7,3,朱元璋《咏菊》,第一句：百花发时我不发
98,微吟不道惊溪鸟，飞入乱云深处啼,7,3,沈周《题画》,第一句：微吟不道惊溪鸟
99,黄河水绕汉宫墙，河上秋风雁几行,7,3,李梦阳《秋望》,第一句：黄河水绕汉宫墙
100,不见五陵豪杰墓，无花无酒锄作田,7,3,唐寅《桃花庵歌》,第一句：不见五陵豪杰墓
101,池塘过雨急鸣蛙酒醒明月照窗纱,7,3,夏言《浣溪沙·庭院沉沉白日斜》,第一句：池塘过雨急鸣蛙酒醒明月照窗纱
102,人无喜事精神减，运到穷时落寞多,7,3,无喜事则精神不佳，运气差易感孤独,第一句：人无喜事精神减
103,是非成败转头空,3,3,杨慎《临江仙·滚滚长江东逝水》,第一句：是非成败转头空
104,多少天涯未归客，尽借篱落看秋风,7,3,唐寅《菊花》,第一句：多少天涯未归客
105,但愿老死花酒间，不愿鞠躬车马前,7,3,唐寅《桃花庵歌》,第一句：但愿老死花酒间
106,将军玉帐貂鼠衣，手持酒杯看雪飞,7,3,刘基《北风行》,第一句：将军玉帐貂鼠衣
107,义胆包天，忠肝盖地，四海无人识,7,3,施耐庵《念奴娇·天南地北》,第一句：义胆包天
108,金鞍玉勒寻芳客，未信我庐别有春,7,3,于谦《观书》,第一句：金鞍玉勒寻芳客
109,醉里乾坤大，壶中日月长,5,3,酒中有广阔天地，壶内似岁月漫长,第一句：醉里乾坤大
110,野花不种年年有，烦恼无根日日生,7,3,野花自开，烦恼常生,第一句：野花不种年年有
111,我生待明日，万事成蹉跎,5,3,钱福《明日歌》,第一句：我生待明日
112,叶落当归根，云沉久必起,5,3,钱嶫《悯黎咏》,第一句：叶落当归根
113,大将南征胆气豪，腰横秋水雁翎刀,7,3,朱厚熜《送毛伯温》,第一句：大将南征胆气豪
114,不求见面惟通谒，名纸朝来满敝庐,7,3,文征明《拜年》,第一句：不求见面惟通谒
115,平生不作皱眉事，世上应无切齿人,7,3,不做坏事，便无人恨你,第一句：平生不作皱眉事
116,瘦影自临春水照，卿须怜我我怜卿,7,3,冯小青《怨》,第一句：瘦影自临春水照
117,知是人家花落尽，菜畦今日蝶来多,7,3,高启《春暮西园》,第一句：知是人家花落尽
118,谁料同心结不成，翻就相思结,6,3,夏完淳《卜算子·秋色到空闺》,第一句：谁料同心结不成
119,寄语天涯客，轻寒底用愁,5,3,于谦《除夜太原寒甚》,第一句：寄语天涯客
120,春还草阁梅先动，月满虚庭雪未消,7,3,王守仁《元夕二首》,第一句：春还草阁梅先动
121,有缘千里来相会，无缘对面不相逢,7,3,缘分决定相遇与否,第一句：有缘千里来相会
122,过目成诵，出口成章,4,3,看一遍就能背诵，开口即成文章,第一句：过目成诵
123,半生落魄已成翁，独立书斋啸晚风,7,3,徐渭《题葡萄图》,第一句：半生落魄已成翁
124,头上红冠不用裁，满身雪白走将来,7,3,唐寅《画鸡》,第一句：头上红冠不用裁
125,世人笑我忒疯颠，我咲世人看不穿,7,3,唐寅《桃花庵歌》,第一句：世人笑我忒疯颠
126,晨昏滚滚水东流，今古悠悠日西坠,7,3,钱福《明日歌》,第一句：晨昏滚滚水东流
127,平生不敢轻言语，一叫千门万户开,7,3,唐寅《画鸡》,第一句：平生不敢轻言语
128,风驱急雨洒高城，云压轻雷殷地声,7,3,刘基《五月十九日大雨》,第一句：风驱急雨洒高城
129,游丝冉冉花枝静，青壁迢迢白鸟过,7,3,王守仁《春晴》,第一句：游丝冉冉花枝静
130,年去年来白发新，匆匆马上又逢春,7,3,于谦《立春日感怀》,第一句：年去年来白发新
131,碧水丹山映杖藜，夕阳犹在小桥西,7,3,沈周《题画》,第一句：碧水丹山映杖藜
132,自古骄兵多致败，从来轻敌少成功,7,3,骄傲和轻敌常导致失败,第一句：自古骄兵多致败
133,无限山河泪，谁言天地宽！,6,3,夏完淳《别云间》,第一句：无限山河泪
134,险夷原不滞胸中，何异浮云过太空,7,3,王守仁《泛海》,第一句：险夷原不滞胸中
135,驰来北马多骄气，歌到南风尽死声,7,3,吴殳《雪夜感怀》,第一句：驰来北马多骄气
136,画家不识渔家苦，好作寒江钓雪图,7,3,孙承宗《渔家》,第一句：画家不识渔家苦
137,强中自有强中手，用诈还逢识诈人,7,3,强中更有强者在，欺诈终遇识破者,第一句：强中自有强中手
138,世间珍果更无加，玉雪肌肤罩绛纱,7,3,丘浚《咏荔枝》,第一句：世间珍果更无加
139,桂花浮玉，正月满天街，夜凉如洗,7,3,文征明《念奴娇·中秋对月》,第一句：桂花浮玉
140,十年驱驰海色寒，孤臣于此望宸銮,7,3,戚继光《望阙台》,第一句：十年驱驰海色寒
141,宁教我负天下人，休教天下人负我,7,3,宁愿我对不起别人，不让别人对不起我,第一句：宁教我负天下人
142,要与西风战一场，遍身穿就黄金甲,7,3,朱元璋《咏菊》,第一句：要与西风战一场
143,故园三径吐幽丛，一夜玄霜坠碧空,7,3,唐寅《菊花》,第一句：故园三径吐幽丛
144,寂历秋江渔火稀，起看残月映林微,7,3,汤显祖《江宿》,第一句：寂历秋江渔火稀
145,山僧过岭看茶老，村女当垆煮酒香,7,3,祝允明《首夏山中行吟》,第一句：山僧过岭看茶老
146,书卷多情似故人，晨昏忧乐每相亲,7,3,于谦《观书》,第一句：书卷多情似故人
147,天南地北，问乾坤，何处可容狂客,7,3,施耐庵《念奴娇·天南地北》,第一句：天南地北
148,南北驱驰报主情，江花边草笑平生,7,3,戚继光《马上作》,第一句：南北驱驰报主情
149,斜髻娇娥夜卧迟，梨花风静鸟栖枝,7,3,唐寅《美人对月》,第一句：斜髻娇娥夜卧迟
150,梅子青，梅子黄，菜肥麦熟养蚕忙,7,3,祝允明《首夏山中行吟》,第一句：梅子青
151,千锤万凿出深山，烈火焚烧若等闲,7,3,于谦《石灰吟》,第一句：千锤万凿出深山
152,城里夕阳城外雪，相将十里异阴晴,7,3,王守仁《次韵陆佥宪元日春晴》,第一句：城里夕阳城外雪
153,男儿不展风云志，空负天生八尺躯,7,3,男儿应展宏图大志，不负天赋,第一句：男儿不展风云志
154,心似白云常自在，意如流水任东西,7,3,心境如云水般自由,第一句：心似白云常自在
155,难将心事和人说，说与青天明月知,7,3,唐寅《美人对月》,第一句：难将心事和人说
156,李白如今已仙去，月在青天几圆缺,7,3,唐寅《把酒对月歌》,第一句：李白如今已仙去
157,无限山河泪，谁言天地宽,5,3,夏完淳《别云间》,第一句：无限山河泪
158,夜静海涛三万里，月明飞锡下天风,7,3,王守仁《泛海》,第一句：夜静海涛三万里
159,人逢喜事精神爽，月到中秋分外明,7,3,喜事使人愉快，中秋月格外明亮,第一句：人逢喜事精神爽
160,大梦谁先觉,2,3,罗贯中《大梦谁先觉》,第一句：大梦谁先觉
161,雪满山中高士卧，月明林下美人来,7,3,高启《梅花九首》,第一句：雪满山中高士卧
162,莫道春来便归去，江南虽好是他乡,7,3,王恭《春雁》,第一句：莫道春来便归去
163,春到人间人似玉，灯烧月下月如银,7,3,唐寅《元宵》,第一句：春到人间人似玉
164,种田不熟不如荒，养儿不肖不如无,7,3,努力未果不如不做，孩子不成才不如没有,第一句：种田不熟不如荒
165,观棋不语真君子，把酒多言是小人,7,3,观棋沉默为君子，饮酒多话为小人,第一句：观棋不语真君子
166,水晶帘外娟娟月，梨花枝上层层雪,7,3,杨基《菩萨蛮·水晶帘外娟娟月》,第一句：水晶帘外娟娟月
167,不炼金丹不坐禅，不为商贾不耕田,7,3,唐寅《言志》,第一句：不炼金丹不坐禅
168,天下大势，分久必合，合久必分,7,3,天下之势，分合循环,第一句：天下大势
169,子治世之能臣，乱世之奸雄也,6,3,治理有序时为能臣，混乱时则为奸雄,第一句：子治世之能臣
170,人无千日好，花无百日红,5,3,人的幸运不会长久，如同花开不会永艳。,第一句：人无千日好
171,良辰美景奈何天，赏心乐事谁家院！,8,3,汤显祖《皂罗袍·原来姹紫嫣红开遍》,第一句：良辰美景奈何天
172,有灯无月不娱人，有月无灯不算春,7,3,唐寅《元宵》,第一句：有灯无月不娱人
173,如何一别朱仙镇，不见将军奏凯歌,7,3,于谦《岳忠武王祠》,第一句：如何一别朱仙镇
174,大树无枝向北风，十年遗恨泣英雄,7,3,高启《吊岳王墓》,第一句：大树无枝向北风
175,阴晴圆缺都休说，且喜人间好时节,7,3,徐有贞《中秋月·中秋月》,第一句：阴晴圆缺都休说
176,行也思君，坐也思君,4,3,唐寅《一剪梅·雨打梨花深闭门》,走路、坐着都想你
177,既生瑜，何生亮！,4,3,感叹对手太强大,既然生了诸葛亮为啥还要有我周瑜？
