id,wenzitext,errortext,clicktimes,tips1,tips2
62,庐山烟雨浙江潮，未至千般恨不消,7,3,苏轼《观潮》,第一句是：庐山烟雨浙江潮
63,流水落花春去也，天上人间,6,3,李煜《浪淘沙令·帘外雨潺潺》,第一句是：流水落花春去也
64,休言万事转头空，未转头时皆梦,7,3,苏轼《西江月·平山堂》,握着对方的手含着泪对视，哽咽着说不出话
65,梦回人远许多愁，只在梨花风雨处,7,3,辛弃疾《玉楼春·风前欲劝春光住》,何时能归隐田园，不为国事操劳，做个清闲人
66,渐行渐远渐无书，水阔鱼沉何处问,7,3,欧阳修《玉楼春·别后不知君远近》,驾起小船从此消逝，泛游江河湖海寄托余生
67,山云吞吐翠微中，淡绿深青一万重。,8,3,元好问《台山杂咏》,第一句是：山云吞吐翠微中
68,小楼一夜听春雨，深巷明朝卖杏花,7,3,陆游《临安春雨初霁》,第一句是：小楼一夜听春雨
69,春未老，风细柳斜斜,4,3,苏轼《望江南·超然台作》,相思之情都一点点地化为灰烬了
70,人生愁恨何能免，销魂独我情何限！,8,3,李煜《子夜歌·人生愁恨何能免》,第一句是：人生愁恨何能免
71,三十功名尘与土，八千里路云和月,7,3,岳飞《满江红·写怀》,第一句是：三十功名尘与土
72,帘外雨潺潺，春意阑珊,5,3,李煜《浪淘沙令·帘外雨潺潺》,门帘外传来雨声潺潺，浓郁的春意又要凋残。
73,黑云翻墨未遮山，白雨跳珠乱入船,7,3,苏轼《六月二十七日望湖楼醉书五首》,相见后相思更甚，还不如不见，多情不如无情
74,昨日邻家乞新火，晓窗分与读书灯,7,3,王禹偁《清明》,第一句是：昨日邻家乞新火
75,人间没个安排处,3,3,李煜《蝶恋花·春暮》,辽阔的天地间没有一个地方可以安排这些愁绪
76,生当作人杰，死亦为鬼雄,5,3,李清照《夏日绝句》,第一句是：生当作人杰
77,相思本是无凭语，莫向花笺费泪行,7,3,晏几道《鹧鸪天·醉拍春衫惜旧香》,第一句是：相思本是无凭语
78,莺莺燕燕分飞后，粉淡梨花瘦。,7,3,元好问《虞美人·槐阴别院宜清昼》,第一句是：莺莺燕燕分飞后
79,识尽千千万万人，终不似、伊家好,7,3,施酒监《卜算子·赠乐婉杭妓》,第一句是：识尽千千万万人
80,梦里佳期，只许庭花与月知,6,3,冯延巳《上行杯·落梅着雨消残粉》,第一句是：梦里佳期
81,念去去，千里烟波，暮霭沉沉楚天阔,8,3,柳永《雨霖铃·寒蝉凄切》,第一句是：念去去
82,古人学问无遗力，少壮工夫老始成,7,3,陆游《冬夜读书示子聿》,第一句是：古人学问无遗力
83,相寻梦里路，飞雨落花中,5,3,晏几道《临江仙·斗草阶前初见》,水天相接，晨雾蒙蒙笼云涛
84,对一张琴，一壶酒，一溪云,6,3,苏轼《行香子·述怀》,一笑出门而去，千里外的风吹得花落
85,心画心声总失真，文章宁复见为人。,8,3,元好问《论诗三十首·其六》,第一句是：心画心声总失真
86,日啖荔枝三百颗，不辞长作岭南人,7,3,苏轼《惠州一绝》,第一句是：日啖荔枝三百颗
87,玉楼金阙慵归去，且插梅花醉洛阳,7,3,朱敦儒《鹧鸪天·西都作》,第一句是：玉楼金阙慵归去
88,为赋新词强说愁,3,3,辛弃疾《丑奴儿·书博山道中壁》,为了写新的词一定要说很愁
89,爱之不以道，适所以害之也,6,3,父母爱护子女方式如果不正确，那是害了子女,第一句是：爱之不以道
90,知否，知否？应是绿肥红瘦,6,3,李清照《如梦令·昨夜雨疏风骤》,第一句是：知否
91,海棠未雨，梨花先雪，一半春休,7,3,王雱《眼儿媚·杨柳丝丝弄轻柔》,靠在枕上读书多么闲适，门前景色在雨中更佳
92,和羞走，倚门回首，却把青梅嗅,7,3,李清照《点绛唇·蹴罢秋千》,第一句是：和羞走
93,月缺不改光，剑折不改刚,5,3,梅尧臣《古意》,第一句是：月缺不改光
94,问渠那得清如许？为有源头活水来,7,3,朱熹《观书有感·其一》,第一句是：问渠那得清如许？为有源头活水来
95,此时情绪此时天无事小神仙,6,3,周邦彦《喜迁莺·梅雨霁》,第一句是：此时情绪此时天无事小神仙
96,少年易老学难成，一寸光阴不可轻,7,3,朱熹《劝学诗》,世态炎凉，人情淡薄，黄昏骤雨催花落
97,醉乡路稳宜频到，此外不堪行,6,3,李煜《乌夜啼·昨夜风兼雨》,第一句是：醉乡路稳宜频到
98,会挽雕弓如满月，西北望，射天狼,7,3,苏轼《江城子·密州出猎》,而今身在异乡，山高水远，相距遥遥
99,深院静，小庭空，断续寒砧断续风,7,3,李煜《捣练子令·深院静》,第一句是：深院静
100,君子能勤小物，故无大患,5,3,《》,第一句是：君子能勤小物
101,楚天千里清秋，水随天去秋无际,7,3,辛弃疾《水龙吟·登建康赏心亭》,第一句是：楚天千里清秋
102,雷公怒激散飞雹，日脚倒射垂长虹。,8,3,元好问《游黄华山》,第一句是：雷公怒激散飞雹
103,回首亭中人，平林淡如画。,6,3,元好问《颍亭留别》,第一句是：回首亭中人
104,小荷才露尖尖角，早有蜻蜓立上头,7,3,杨万里《小池》,第一句是：小荷才露尖尖角
105,莫听穿林打叶声，何妨吟啸且徐行,7,3,苏轼《定风波·莫听穿林打叶声》,第一句是：莫听穿林打叶声
106,十年种木，一年种谷，都付儿童。,7,3,元好问《人月圆·卜居外家东园》,第一句是：十年种木
107,细看来，不是杨花，点点是离人泪,7,3,苏轼《水龙吟·次韵章质夫杨花词》,第一句是：细看来
108,一朵芙蕖，开过尚盈盈,5,3,苏轼《江城子·江景》,第一句是：一朵芙蕖
109,欢乐趣，离别苦，就中更有痴儿女。,8,3,元好问《摸鱼儿·雁丘词》,比翼双飞虽然快乐，但离别才真的是楚痛难受
110,晚泊孤舟古祠下，满川风雨看潮生,7,3,苏舜钦《淮中晚泊犊头》,第一句是：晚泊孤舟古祠下
111,一语天然万古新，豪华落尽见真淳。,8,3,元好问《论诗三十首·其四》,第一句是：一语天然万古新
112,卧看满天云不动，不知云与我俱东,7,3,陈与义《襄邑道中》,鸳鸯被里情人成双，一树梨花盛开压过海棠花
113,系我一生心，负你千行泪,5,3,柳永《忆帝京·薄衾小枕凉天气》,人就好像秋天的大雁一样，来去有音信痕迹
114,娶妻莫恨无良媒，书中自有颜如玉,7,3,赵恒《劝学诗》,第一句是：娶妻莫恨无良媒
115,我最怜君中宵舞，道男儿到死心如铁,8,3,辛弃疾《贺新郎·同父见和再用韵答之》,第一句是：我最怜君中宵舞
116,举头西北浮云，倚天万里须长剑,7,3,辛弃疾《水龙吟·过南剑双溪楼》,远望秋山无数，落叶飘零，天地更加辽远阔大
117,人间别久不成悲,3,3,姜夔《鹧鸪天·元夕有所梦》,有琴可弹，有酒可饮，赏玩山水，就足够了
118,梧桐叶上三更雨，叶叶声声是别离,7,3,周紫芝《鹧鸪天·一点残红欲尽时》,第一句是：梧桐叶上三更雨
119,若教眼底无离恨，不信人间有白头,7,3,辛弃疾《鹧鸪天·代人赋》,世事短暂，如春梦一般转瞬即逝
120,闲梦远，南国正芳春,4,3,李煜《望江南·闲梦远》,闲梦悠远，南国春光正好。
121,只恐双溪舴艋舟，载不动许多愁,7,3,李清照《武陵春·春晚》,却说道：“好凉爽的一个秋天啊！”
122,奴为出来难，教君恣意怜,5,3,李煜《菩萨蛮·花明月暗笼轻雾》,第一句是：奴为出来难
123,老夫惟有，醒来明月，醉后清风。,7,3,元好问《人月圆·卜居外家东园》,第一句是：老夫惟有
124,梦回芳草思依依，天远雁声稀,6,3,李煜《喜迁莺·晓月坠》,梦醒仍恋芳草绵绵，雁声消失遥远天边。
125,问莲根、有丝多少，莲心知为谁苦？,8,3,元好问《摸鱼儿·问莲根有丝多少》,第一句是：问莲根、有丝多少
126,醒复醉，醉还醒。,4,3,元好问《鹧鸪天·只近浮名不近情》,我酒醒了又喝醉，喝醉了却又醒
127,寒夜客来茶当酒，竹炉汤沸火初红,7,3,杜耒《寒夜》,第一句是：寒夜客来茶当酒
128,天南地北双飞客，老翅几回寒暑。,7,3,元好问《摸鱼儿·雁丘词》,第一句是：天南地北双飞客
129,胭脂泪，相留醉，几时重,5,3,李煜《相见欢·林花谢了春红》,第一句是：胭脂泪
130,闲来无事不从容，睡觉东窗日已红,7,3,程颢《秋日偶成》,这一生到过平山堂三次，半生在弹指间过去了
131,杏花疏影里，吹笛到天明,5,3,陈与义《临江仙·夜登小阁忆洛中旧游》,落日里寒鸦归巢，一片伤心景色
132,看似寻常最奇崛，成如容易却艰辛,7,3,王安石《题张司业诗》,第一句是：看似寻常最奇崛
133,九万里风鹏正举,3,3,李清照《渔家傲·天接云涛连晓雾》,第一句是：九万里风鹏正举
134,相逢不尽平生事，春思入琵琶。,7,3,刘迎《乌夜啼·离恨远萦杨柳》,第一句是：相逢不尽平生事
135,有约不来过夜半，闲敲棋子落灯花,7,3,赵师秀《约客》,第一句是：有约不来过夜半
136,多少长安名利客，机关用尽不如君,7,3,黄庭坚《牧童诗》,第一句是：多少长安名利客
137,二十四桥仍在，波心荡，冷月无声,7,3,姜夔《扬州慢·淮左名都》,第一句是：二十四桥仍在
138,四十年来家国，三千里地山河,6,3,李煜《破阵子·四十年来家国》,第一句是：四十年来家国
139,无言独上西楼，月如钩,5,3,李煜《相见欢·无言独上西楼》,第一句是：无言独上西楼
140,鹏北海，凤朝阳,3,3,辛弃疾《鹧鸪天·送廓之秋试》,第一句是：鹏北海
141,寒波澹澹起，白鸟悠悠下。,6,3,元好问《颍亭留别》,颍水上清波淡淡而起，洁白的鸥鸟悠悠而下
142,骤雨过，似琼珠乱撒，打遍新荷。,7,3,元好问《骤雨打新荷·绿叶阴浓》,第一句是：骤雨过
143,当时共我赏花人，点检如今无一半,7,3,晏殊《木兰花·池塘水绿风微暖》,第一句是：当时共我赏花人
144,林花谢了春红，太匆匆,5,3,李煜《相见欢·林花谢了春红》,第一句是：林花谢了春红
145,长衫我亦何为者，也在游人笑语中。,8,3,元好问《京都元夕》,第一句是：长衫我亦何为者
146,天若有情天亦老，摇摇幽恨难禁,7,3,孙洙《河满子·秋怨》,第一句是：天若有情天亦老
147,生盆火烈轰鸣竹，守岁筵开听颂椒,7,3,戴复古《除夜》,端起酒杯向东风祈祷，请你再留些时日
148,何处望神州？满眼风光北固楼,6,3,辛弃疾《南乡子·登京口北固亭有怀》,第一句是：何处望神州？满眼风光北固楼
149,别后不知君远近，触目凄凉多少闷,7,3,欧阳修《玉楼春·别后不知君远近》,第一句是：别后不知君远近
150,雕栏玉砌应犹在，只是朱颜改,6,3,李煜《虞美人·春花秋月何时了》,第一句是：雕栏玉砌应犹在
151,闲梦远，南国正清秋,4,3,李煜《望江南·闲梦远》,闲梦幽远，南唐故国正值秋高气爽的清秋。
152,驿外断桥边，寂寞开无主,5,3,陆游《卜算子·咏梅》,第一句是：驿外断桥边
153,欲把相思说似谁，浅情人不知,6,3,晏几道《长相思·长相思》,第一句是：欲把相思说似谁
154,一川烟草，满城风絮，梅子黄时雨,7,3,贺铸《青玉案·凌波不过横塘路》,第一句是：一川烟草
155,莫道不销魂，帘卷西风，人比黄花瘦,8,3,李清照《醉花阴·薄雾浓云愁永昼》,庭院无风，柳丝低垂，闺人昼寝
156,空床卧听南窗雨，谁复挑灯夜补衣,7,3,贺铸《鹧鸪天·重过阊门万事非》,第一句是：空床卧听南窗雨
157,水光潋滟晴方好，山色空蒙雨亦奇,7,3,苏轼《饮湖上初晴后雨二首·其二》,第一句是：水光潋滟晴方好
158,万物静观皆自得，四时佳兴与人同,7,3,程颢《秋日偶成》,第一句是：万物静观皆自得
159,东野穷愁死不休，高天厚地一诗囚。,8,3,元好问《论诗三十首·十八》,孟郊一生愁苦写诗不停，像天地间被囚的诗人
160,春未绿，鬓先丝人间别久不成悲,7,3,姜夔《鹧鸪天·元夕有所梦》,第一句是：春未绿
161,且趁闲身未老，尽放我、些子疏狂,7,3,苏轼《满庭芳·蜗角虚名》,认识了许许多多的女子，却始终没有你这般好
162,柳庭风静人眠昼，昼眠人静风庭柳,7,3,苏轼《菩萨蛮·回文夏闺怨》,第一句是：柳庭风静人眠昼
163,我与使君皆白首，休夸少年风流,7,3,苏轼《临江仙·惠州改前韵》,愿天上人间、年年今日，都充满欢愉
164,画图恰似归家梦，千里河山寸许长,7,3,辛弃疾《鹧鸪天·送元济之归豫章》,第一句是：画图恰似归家梦
165,若言琴上有琴声，放在匣中何不鸣？,8,3,苏轼《琴诗》,分明是做了一场繁华美梦，回首东风泪满衣衫
166,拨雪寻春，烧灯续昼,4,3,毛滂《踏莎行·元夕》,第一句是：拨雪寻春
167,聚散匆匆，此恨年年有,5,3,魏夫人《点绛唇·波上清风》,第一句是：聚散匆匆
168,细雨斜风作晓寒，淡烟疏柳媚晴滩,7,3,苏轼《浣溪沙·细雨斜风作晓寒》,举头眺望西北的长安，可惜只看到无数青山
169,菡萏香销翠叶残，西风愁起绿波间,7,3,李璟《摊破浣溪沙·菡萏香销翠叶残》,第一句是：菡萏香销翠叶残
170,一寸相思一寸灰,3,3,苏轼《南乡子·集句》,天地之间有一股堂堂正气，赋予万物各种形态
171,几时归去，作个闲人,4,3,苏轼《行香子·述怀》,第一句是：几时归去
172,往事只堪哀，对景难排,5,3,李煜《浪淘沙·往事只堪哀》,第一句是：往事只堪哀
173,多情自古伤离别,3,3,柳永《雨霖铃·寒蝉凄切》,第一句是：多情自古伤离别
174,枝上柳绵吹又少，天涯何处无芳草！,8,3,苏轼《蝶恋花·春景》,第一句是：枝上柳绵吹又少
175,离恨恰如春草，更行更远还生,6,3,李煜《清平乐·别来春半》,第一句是：离恨恰如春草
176,落絮无声春堕泪，行云有影月含羞,7,3,吴文英《浣溪沙·门隔花深梦旧游》,第一句是：落絮无声春堕泪
177,一去二三里，烟村四五家,5,3,邵雍《山村咏怀》,心如死灰，身体像没有系缆绳的小船
178,海枯石烂情缘在，幽恨不埋黄土。,7,3,元好问《摸鱼儿·问莲根有丝多少》,第一句是：海枯石烂情缘在
179,秋风多，雨相和，帘外芭蕉三两窠,7,3,李煜《长相思·云一緺》,第一句是：秋风多
180,池塘春草谢家春，万古千秋五字新。,8,3,元好问《论诗三十首·二十九》,第一句是：池塘春草谢家春
181,雾失楼台，月迷津渡,4,3,秦观《踏莎行·郴州旅舍》,第一句是：雾失楼台
182,心似双丝网，中有千千结,5,3,张先《千秋岁·数声鶗鴂》,第一句是：心似双丝网
183,天不老，情难绝,3,3,张先《千秋岁·数声鶗鴂》,第一句是：天不老
184,风乍起，吹皱一池春水,5,3,冯延巳《谒金门·风乍起》,春风忽地吹起，吹得那池塘的春水泛起涟漪。
185,星稀河影转，霜重月华孤,5,3,张孝祥《临江仙·试问梅花何处好》,第一句是：星稀河影转
186,载酒买花年少事，浑不似，旧心情,7,3,卢祖皋《江城子·画楼帘幕卷新晴》,第一句是：载酒买花年少事
187,留连光景惜朱颜，黄昏独倚阑,6,3,李煜《阮郎归·呈郑王十二弟》,第一句是：留连光景惜朱颜
188,寻寻觅觅，冷冷清清，凄凄惨惨戚戚,8,3,李清照《声声慢·寻寻觅觅》,离肠寸断，泪流难收
189,墙外行人，墙里佳人笑,5,3,苏轼《蝶恋花·春景》,明月从什么时候开始有的？我拿着酒杯问苍天
190,衣带渐宽终不悔，为伊消得人憔悴,7,3,柳永《蝶恋花·伫倚危楼风细细》,第一句是：衣带渐宽终不悔
191,诗酒趁年华,2,3,苏轼《望江南·超然台作》,喝茶饮酒趁着现在最好的年华
192,不识庐山真面目，只缘身在此山中,7,3,苏轼《题西林壁》,宁可没有肉吃，也不能让居处没有竹子
193,明月别枝惊鹊，清风半夜鸣蝉,6,3,辛弃疾《西江月·夜行黄沙道中》,长空九万里，大鹏冲天飞正高
194,只知诗到苏黄尽，沧海横流却是谁？,8,3,元好问《论诗三十首·二十二》,第一句是：只知诗到苏黄尽
195,浪花有意千里雪，桃花无言一队春,7,3,李煜《渔父·浪花有意千里雪》,第一句是：浪花有意千里雪
196,荷尽已无擎雨盖，菊残犹有傲霜枝,7,3,苏轼《赠刘景文》,第一句是：荷尽已无擎雨盖
197,江头未是风波恶，别有人间行路难！,8,3,辛弃疾《鹧鸪天·送人》,第一句是：江头未是风波恶
198,悬流千丈忽当眼，芥蒂一洗平生胸。,8,3,元好问《游黄华山》,第一句是：悬流千丈忽当眼
199,老来情味减，对别酒，怯流年,6,3,辛弃疾《木兰花慢·滁州送范倅》,第一句是：老来情味减
200,文章本天成，妙手偶得之,5,3,陆游《文章》,第一句是：文章本天成
201,多情却被无情恼，今夜还如昨夜长。,8,3,元好问《鹧鸪天·候馆灯昏雨送凉》,第一句是：多情却被无情恼
202,粗缯大布裹生涯，腹有诗书气自华,7,3,苏轼《和董传留别》,第一句是：人生到处知何似
203,百二关河草不横，十年戎马暗秦京。,8,3,元好问《岐阳三首》,第一句是：百二关河草不横
204,画堂南畔见，一向偎人颤,5,3,李煜《菩萨蛮·花明月暗笼轻雾》,第一句是：画堂南畔见
205,酒入愁肠，化作相思泪,5,3,范仲淹《苏幕遮·怀旧》,花儿凋落让人无可奈何，似曾相识的燕又归来
206,十八新娘八十郎，苍苍白发对红妆,7,3,佚名《戏赠张先》,风停了，尘土里带有花香，花儿已凋落殆尽
207,暮云收尽溢清寒，银汉无声转玉盘,7,3,苏轼《阳关曲·中秋月》,如果你到江南赶上春天，要把春天的景色留住
208,缺月挂疏桐，漏断人初静,5,3,苏轼《卜算子·黄州定慧院寓居作》,第一句是：缺月挂疏桐
209,怅恨不逢如意酒寻思难值有情人,7,3,晏几道《浣溪沙·闲弄筝弦懒系裙》,高山流水知音稀，纵然琴弦弹断，又有谁来听
210,深宫桃李无人问，旧爱玉颜今自恨。,8,3,元好问《玉楼春·惊沙猎猎风成阵》,第一句是：深宫桃李无人问
211,相逢情便深，恨不相逢早,5,3,施酒监《卜算子·赠乐婉杭妓》,第一句是：相逢情便深
212,我是清都山水郎，天教分付与疏狂,7,3,朱敦儒《鹧鸪天·西都作》,第一句是：我是清都山水郎
213,近水楼台先得月，向阳花木易为春,7,3,苏麟《断句》,第一句是：粗缯大布裹生涯
214,请君看取东流水，方识人间别意长,7,3,严仁《鹧鸪天·惜别》,父母爱护子女方式如果不正确，那是害了子女
215,风里落花谁是主？思悠悠,5,3,李璟《摊破浣溪沙·手卷真珠上玉钩》,风中的落花的主人是谁呢？这使我忧思不尽
216,月上柳梢头，人约黄昏后,5,3,欧阳修《生查子·元夕》,第一句是：月上柳梢头
217,此身合是诗人未？细雨骑驴入剑门,7,3,陆游《剑门道中遇微雨》,和哪个一同倚坐？不过明月、清风，还有我
218,手卷真珠上玉钩，依前春恨锁重楼,7,3,李璟《摊破浣溪沙·手卷真珠上玉钩》,第一句是：手卷真珠上玉钩
219,梅子留酸软齿牙，芭蕉分绿与窗纱,7,3,杨万里《闲居初夏午睡起·其一》,以后我定不会再想念你，你也不要再想念我了
220,云一緺，玉一梭，淡淡衫儿薄薄罗,7,3,李煜《长相思·云一緺》,第一句是：云一緺
221,天涯岂是无归意，争奈归期未可期,7,3,晏几道《鹧鸪天·十里楼台倚翠微》,天不会老去，爱情也永远不会断绝
222,人生不满百，常怀千岁忧,5,3,陈普《拟古八首·其一》,我知道你摆好了酒席，等待着老朋友来畅饮
223,人生自是有情痴，此恨不关风与月,7,3,欧阳修《玉楼春·尊前拟把归期说》,第一句是：人生自是有情痴
224,若是前生未有缘，待重结、来生愿,7,3,乐婉《卜算子·答施》,若是前生没有缘分，那么来生结为夫妻
225,离人心上秋,2,3,吴文英《唐多令·惜别》,离别的时间太久后一切伤痛都会被时光抹去
226,候馆灯昏雨送凉，小楼人静月侵床。,8,3,元好问《鹧鸪天·候馆灯昏雨送凉》,旅舍中烛光昏暗，室外下着微雨透进阵阵寒凉
227,鸿雁在云鱼在水，惆怅此情难寄,7,3,晏殊《清平乐·红笺小字》,相见后相思更甚，还不如不见，多情不如无情
228,绿叶阴浓，遍池亭水阁，偏趁凉多。,8,3,元好问《骤雨打新荷·绿叶阴浓》,第一句是：绿叶阴浓
229,纵横正有凌云笔，俯仰随人亦可怜。,8,3,元好问《论诗三十首·二十一》,第一句是：纵横正有凌云笔
230,想得玉楼瑶殿影，空照秦淮,6,3,李煜《浪淘沙·往事只堪哀》,第一句是：想得玉楼瑶殿影
231,天接云涛连晓雾，星河欲转千帆舞,7,3,李清照《渔家傲·天接云涛连晓雾》,秋天到了，西北边塞的风光和江南大不同
