id,wenzitext,errortext,clicktimes,tips1,tips2
28,傲杀人间万户侯，不识字烟波钓叟,8,3,白朴《沉醉东风·渔夫》,烟波钓叟傲王侯
29,报道先生归也，杏花春雨江南,7,3,虞集《风入松·寄柯敬仲》,杏花春雨江南归
30,兴亡千古繁华梦，诗眼倦天涯,7,3,张可久《人月圆·山中书事》,千古兴亡皆如梦，诗眼倦天涯
31,木兰花在，山僧试问，知为谁开？,7,3,徐再思《人月圆·甘露怀古》,木兰花在，为谁而开？
32,问花花不语，为谁落，为谁开,7,3,梁曾《木兰花慢·西湖送春》,问花不语，为谁开落
33,忽然一夜清香发，散作乾坤万里春,8,3,王冕《白梅》,一夜清香发，万里春满世
34,兴，百姓苦；亡，百姓苦,6,3,张养浩《山坡羊·潼关怀古》,兴亡皆苦百姓
35,小桥流水人家,3,3,马致远《天净沙·秋思》,小桥流水人家
36,古道西风瘦马,3,3,马致远《天净沙·秋思》,古道西风瘦马
37,山河表里潼关路,3,3,张养浩《山坡羊·潼关怀古》,山河险要潼关路
38,历添新岁月，春满旧山河,6,3,叶颙《己酉新正》,新年旧山河，岁月添春色
39,无半点闲愁去处，问三生醉梦何如,8,3,乔吉《折桂令·七夕赠歌者》,无愁问醉梦三生
40,我家洗砚池边树，朵朵花开淡墨痕,8,3,王冕《墨梅》,洗砚池边树，花开淡墨痕
41,落花水香茅舍晚，断桥头卖鱼人散,8,3,马致远《寿阳曲·远浦帆归》,落花茅舍晚，断桥鱼人散
42,宁为太平犬，莫作乱离人！,6,3,施君美《幽闺记·第十九出》,宁为太平犬，莫作乱离人
43,路遥遥，水迢迢，功名尽在长安道,8,3,陈草庵《山坡羊·晨鸡初叫》,路远功名尽长安
44,今日少年明日老,4,3,陈草庵《山坡羊·晨鸡初叫》,今日少年明日老
45,枕上十年事，江南二老忧，都到心头,8,3,徐再思《水仙子·夜雨》,枕上十年事，江南二老忧
46,妾身悔作商人妇，妾命当逢薄幸夫,8,3,徐再思《阳春曲·闺怨》,悔作商人妇，命逢薄幸夫
47,星斗满天人睡也,4,3,吴西逸《清江引·秋居》,星斗满天，人已睡去
48,须信百年俱是梦，天地阔，且徜徉,8,3,邵亨贞《江城子·疏云过雨漏斜阳》,百年皆梦，天地徜徉
49,自别后遥山隐隐，更那堪远水粼粼,8,3,王实甫《十二月过尧民歌·别情》,别后山隐隐，远水更粼粼
50,剑花寒，夜坐归心壮，又是他乡,7,3,张可久《满庭芳·客中九日》,剑寒夜坐，归心似箭
51,落灯花，棋未收，叹新丰逆旅淹留,8,3,徐再思《水仙子·夜雨》,棋未收灯花落，叹逆旅淹留
52,子规啼，不如归，道是春归人未归,8,3,关汉卿《大德歌·春》,子规啼春归，人未归
53,天仙碧玉琼瑶，点点扬花，片片鹅毛,8,3,薛昂夫《蟾宫曲·雪》,天仙琼瑶，扬花鹅毛
54,马蹄踏水乱明霞，醉袖迎风受落花,8,3,刘因《山家》,马蹄踏水乱霞，醉袖迎落花
55,妾身独自眠，月圆人未圆,6,3,王元鼎《凭栏人·闺怨》,月圆人未圆
56,碧云天，黄花地，西风紧，北雁南飞,8,3,王实甫《西厢记·长亭送别》,碧云黄花，西风雁南飞
57,衰柳寒蝉一片愁，谁肯教白衣送酒？,8,3,卢挚《沉醉东风·重九》,衰柳寒蝉愁，谁送酒？
58,可怜今夜月，不肯下西厢,6,3,王庭筠《绝句》,今夜月不肯下西厢
59,伤心秦汉经行处，宫阙万间都做了土,8,3,张养浩《山坡羊·潼关怀古》,秦汉伤心处，宫阙化尘土
60,似白虹饮涧，玉龙下山，晴雪飞滩,8,3,乔吉《双调·水仙子·重观瀑布》,白虹饮涧，玉龙下山
61,夕阳西下，断肠人在天涯,6,3,马致远《天净沙·秋思》,夕阳西下，断肠人天涯
62,朱颜渐老，白发添多少？,5,3,白朴《清平乐·朱颜渐老》,朱颜渐老，白发添多少
63,我欲乘槎，直穷银汉，问津深入,7,3,许有壬《水龙吟·过黄河》,欲乘槎问银汉
64,霸业成空，遗恨无穷,5,3,查德卿《蟾宫曲·怀古》,霸业成空，遗恨无穷
65,当年紫禁烟花，相逢恨不知音早,7,3,王恽《水龙吟·送焦和之赴西夏行省》,紫禁烟花，恨未早知音
66,伤心千古，秦淮一片明月！,6,3,萨都剌《念奴娇·登石头城次东坡韵》,千古伤心秦淮月
67,咸阳百二山河，两字功名，几阵干戈,8,3,马致远《蟾宫曲·叹世二首》,咸阳山河，功名几战
68,玉雪窍玲珑，纷披绿映红,6,3,吴师道《莲藕花叶图》,玉雪玲珑，绿映红
69,新啼痕压旧啼痕，断肠人忆断肠人,8,3,王实甫《十二月过尧民歌·别情》,新泪压旧痕，断肠忆断肠
70,野店桃花红粉姿，陌头杨柳绿烟丝,8,3,赵孟頫《东城》,野店桃花红，陌头柳绿烟
71,东风吹落战尘沙，梦想西湖处士家,8,3,刘因《观梅有感》,东风吹尘沙，梦西湖处士
72,卧看牵牛织女星，月转过梧桐树影,8,3,卢挚《沉醉东风·七夕》,卧看牵牛织女，月转梧桐影
73,雪粉华，舞梨花，再不见烟村四五家,8,3,关汉卿《大德歌·冬景》,雪舞梨花，不见烟村
74,白雁乱飞秋似雪，清露生凉夜,7,3,吴西逸《清江引·秋居》,白雁乱飞秋似雪，清露凉夜
75,慈母倚门情，游子行路苦,6,3,王冕《墨萱图·其一》,慈母倚门情，游子行路苦
76,我家洗砚池头树，朵朵花开淡墨痕,8,3,王冕《墨梅》,洗砚池边得梅树花像是墨汁点染而成
77,晓来谁染霜林醉？,4,3,王实甫《西厢记·长亭送别》,霜林醉谁染？
78,一帘红雨桃花谢，十里清阴柳影斜,8,3,胡祗遹《阳春曲·春景》,红雨桃花谢，柳影斜十里
79,九日明朝酒香，一年好景橙黄,7,3,张可久《满庭芳·客中九日》,九日酒香，橙黄好景
80,江上晚来堪画处，钓鱼人一蓑归去,8,3,马致远《寿阳曲·江天暮雪》,江晚堪画处，渔人蓑归去
81,细看不是雪无香，天风吹得香零落,8,3,王旭《踏莎行·雪中看梅花》,非雪无香，天风吹落
82,想铁甲重瞳，乌骓汗血，玉帐连空,8,3,萨都剌《木兰花慢·彭城怀古》,铁甲重瞳，乌骓连空
83,恨人间、会少离多，万古千秋今夕,8,3,张埜《夺锦标·七夕》,人间会少离多，万古今夕
84,霜殒芦花泪湿衣，白头无复倚柴扉,8,3,与恭《思母》,霜殒芦花泪，白头无柴扉
85,人生百年如寄，且开怀，一饮尽千钟,8,3,萨都剌《木兰花慢·彭城怀古》,百年人生寄，开怀饮千钟
86,京国多年情尽改，忽听春雨忆江南,8,3,虞集《听雨》,京国改情，春雨忆江南
87,归雁横秋，倦客思家,5,3,张可久《蟾宫曲·九日》,归雁横秋，倦客思家
88,青天蜀道难，红叶吴江冷,6,3,张可久《普天乐·秋怀》,蜀道难，吴江冷
89,一品茶，五色瓜，四季花,6,3,张可久《四块玉·乐闲》,一品茶，五色瓜，四季花
90,黄鹤楼前鹦鹉洲，梦中浑似昔时游,8,3,揭傒斯《梦武昌》,黄鹤楼鹦鹉洲，浑似昔时游
91,人生万事须自为，跬步江山即寥廓,8,3,范梈《王氏能远楼》,万事须自为，跬步即寥廓
92,风云一举到天关，快意生平有此观,8,3,张养浩《登泰山》,风云到天关，快意生平观
93,算春色三分，半随流水，半入尘埃,8,3,梁曾《木兰花慢·西湖送春》,春色三分，流水尘埃
94,梅花散彩向空山，雪花随意穿帘幕,8,3,王旭《踏莎行·雪中看梅花》,梅花散彩空山，雪花穿帘
95,桃李春风浑过了，留得桑榆残照,7,3,白朴《清平乐·朱颜渐老》,桃李春风过，桑榆残照留
96,自送别，心难舍，一点相思几时绝？,8,3,关汉卿《四块玉·别情》,送别心难舍，相思何时绝
97,百岁光阴如梦蝶，重回首往事堪嗟,8,3,马致远《双调·夜行船·秋思》,百年光阴如蝶梦，回首堪嗟
98,成也萧何，败也萧何；醉了由他！,7,3,马致远《蟾宫曲·叹世二首》,成败皆萧何，醉由他
99,纸上清名，万古难磨,5,3,周浩《折桂令·题录鬼簿》,纸上清名，万古难磨
100,碧云红雨小楼空，春光已到销魂处,8,3,张翥《踏莎行·芳草平沙》,碧云红雨小楼空，春光销魂
101,灿灿萱草花，罗生北堂下,6,3,王冕《墨萱图·其一》,萱草灿灿生北堂
102,云心无我，云我无心,5,3,卫立中《殿前欢·碧云深》,云无心，我亦无心
103,啼莺舞燕，小桥流水飞红,6,3,白朴《天净沙·春》,莺燕舞，小桥流水飞红
104,见杨柳飞绵滚滚，对桃花醉脸醺醺,8,3,王实甫《十二月过尧民歌·别情》,杨柳飞绵，桃花醉脸
105,唤起思量，待不思量，怎不思量！,7,3,郑光祖《蟾宫曲·梦中作》,思量难断，怎不思量
106,纱厨藤簟，玉人罗扇轻缣,6,3,白朴《天净沙·夏》,纱厨藤簟，玉人执扇
107,长江万里白如练，淮山数点青如淀,8,3,周德清《塞鸿秋·浔阳即景》,长江万里白如练，淮山青如淀
108,南风吹其心，摇摇为谁吐？,6,3,王冕《墨萱图·其一》,南风吹心摇，为谁吐？
109,生生无限意，只在苦心中,6,3,吴师道《莲藕花叶图》,生生意无穷，尽在苦心
110,光阴寸隙流如电，风霜两鬓白如练,8,3,薛昂夫《塞鸿秋·功名万里忙如燕》,光阴如电，风霜白鬓
111,夜来雨横与风狂，断送西园满地香,8,3,阿鲁威《湘妃怨·夜来雨横与风狂》,夜雨风狂，断送西园香
112,伤心莫问前朝事，重上越王台,7,3,倪瓒《人月圆·伤心莫问前朝事》,莫问前朝事，重登越王台
113,瘦马驮诗天一涯，倦鸟呼愁村数家,8,3,乔吉《凭阑人·金陵道中》,瘦马驮诗天涯，倦鸟愁村
114,一轮飞镜谁磨？,3,3,张养浩《折桂令·中秋》,飞镜谁磨？
115,莫向西湖歌此曲，水光山色不胜悲,8,3,赵孟頫《岳鄂王墓》,莫歌西湖曲，山水不胜悲
116,人初静，月正明,4,3,马致远《落梅风·人初静》,人静月明
117,青苔古木萧萧，苍云秋水迢迢,7,3,张可久《天净沙·鲁卿庵中》,青苔古木萧萧，苍云秋水迢迢
118,透内阁香风阵阵，掩重门暮雨纷纷,8,3,王实甫《十二月过尧民歌·别情》,内阁香风阵阵，重门暮雨纷纷
119,万顷波光摇月碎，一天风露藕花香,8,3,黄庚《临平泊舟》,波光摇月碎，风露藕花香
120,杏花疏影，杨柳新晴,5,3,贯云石《殿前欢·隔帘听》,杏花疏影，杨柳新晴
121,柳梢听得黄鹂语，此是春来第一声,8,3,杨载《到京师》,柳梢黄鹂语，春来第一声
122,一城秋雨豆花凉，闲倚平山望,7,3,张可久《小桃红·寄鉴湖诸友》,秋雨豆花凉，倚山望
123,酷暑天，葵榴发，喷鼻香十里荷花,8,3,白朴《得胜乐·夏》,酷暑葵榴发，荷花香十里
124,怪见溪童出门望，雀声先我到山家,8,3,刘因《山家》,溪童望山雀，声先到
125,西风信来家万里，问我归期未？,7,3,张可久《清江引·秋怀》,西风家书问归期
126,知不知对春思念他，倚栏杆海棠花下？,8,3,周文质《落梅风·楼台小》,春思海棠下，倚栏杆
127,林深藏却云门寺，回首若耶溪,7,3,张可久《人月圆·会稽怀古》,云门寺藏林，回首若耶溪
128,怅然孤啸，青山故国，乔木苍苔,7,3,倪瓒《人月圆·伤心莫问前朝事》,孤啸青山故国，乔木苍苔
129,里湖，外湖，无处是无春处,6,3,徐再思《朝天子·西湖》,里湖外湖，处处春
130,蛾眉淡了教谁画？瘦岩岩羞带石榴花,8,3,关汉卿《大德歌·夏》,蛾眉淡谁画？羞带石榴花
131,画楼洗净鸳鸯瓦，彩绳半湿秋千架,8,3,王元鼎《醉太平·寒食》,画楼洗鸳瓦，彩绳湿秋千
132,离骚读罢总堪伤,4,3,舒頔《小重山·端午》,读离骚总伤情
133,英雄已死嗟何及，天下中分遂不支,8,3,赵孟頫《岳鄂王墓》,英雄已死叹何及，天下中分
134,晨鸡初叫，昏鸦争噪,5,3,陈草庵《山坡羊·晨鸡初叫》,晨鸡叫，昏鸦噪
135,欲寄君衣君不还，不寄君衣君又寒,8,3,姚燧《凭阑人·寄征衣》,寄衣君不归，不寄君又寒
136,望长安，前程渺渺鬓斑斑,6,3,张可久《殿前欢·客中》,望长安渺渺，鬓斑斑
137,我问沧海何时老，清风问我几时闲,8,3,高克恭《怡然观海》,问海何时老，清风问闲
138,今春香肌瘦几分？缕带宽三寸,7,3,王实甫《十二月过尧民歌·别情》,今春瘦几分？衣带宽三寸
139,钓鱼台，十年不上野鸥猜,6,3,张可久《殿前欢·次酸斋韵》,钓鱼台久荒，鸥鸟猜
140,剔银灯欲将心事写，长吁气一声吹灭,8,3,马致远《寿阳曲·云笼月》,剔银灯写心事，吹灭长叹
141,江山王气空千劫，桃李春风又一年,8,3,耶律楚材《鹧鸪天·题七真洞》,江山王气尽，桃李又春风
142,帘控钩，掩上珠楼，风雨替花愁,7,3,乔吉《春闺怨·不系雕鞍门前柳》,珠楼掩钩，风雨替花愁
143,烧痕惨淡带昏鸦，数尽寒梅未见花,8,3,陈孚《咏永州》,烧痕昏鸦数，寒梅未见花
144,笑将红袖遮银烛，不放才郎夜看书,8,3,白朴《阳春曲·题情》,红袖遮烛，不放夜读书
145,且行且慢且叮咛，踏歌行人未停,7,3,刘致《踏歌行·梦里思大漠》,且行慢叮咛，踏歌未停
146,为谁忙，莫非命,4,3,张可久《普天乐·秋怀》,为谁忙？莫非命
147,日月长，天地阔，闲快活！,6,3,关汉卿《四块玉·闲适》,日月长天地阔，闲快活
148,泪添九曲黄河溢，恨压三峰华岳低,8,3,王实甫《西厢记·长亭送别》,泪溢黄河，恨压华岳
149,数间茅舍，藏书万卷，投老村家,7,3,张可久《人月圆·山中书事》,茅舍藏书万卷，终老村家
150,举头三尺有神明，忘义多应当罪名！,8,3,高克礼《雁儿落过得胜令·寻致争不致争》,举头有神明，忘义当罪名
151,风雨端阳生晦冥，汨罗无处吊英灵,8,3,贝琼《己酉端午》,端阳风雨晦，无处吊英灵
152,香消翠减，雨昏烟暗，芳草遍江南,8,3,乔吉《小桃红·春闺怨》,香消雨暗，芳草遍江南
153,夕阳下，酒旆闲，两三航未曾着岸,8,3,马致远《寿阳曲·远浦帆归》,夕阳酒旆闲，船未靠岸
154,红颜自古多薄命，莫怨东风当自嗟,8,3,高明《商调·金络索桂梧桐·咏别》,红颜多薄命，莫怨东风
155,举头望云林，愧听慧鸟语,6,3,王冕《墨萱图·其一》,望云林愧听，慧鸟语
156,竹篱茅舍，淡烟衰草孤村,6,3,白朴《天净沙·冬》,竹篱茅舍，衰草孤村
157,风风雨雨梨花，窄索帘栊，巧小窗纱,8,3,乔吉《折桂令·客窗清明》,风雨梨花，小窗纱
158,桃花吹尽，佳人何在，门掩残红,7,3,张可久《人月圆·春晚次韵》,桃花吹尽，门掩残红
159,千古是非心，一夕渔樵话,6,3,白朴《庆东原·忘忧草》,千古是非心，渔樵一夜话
160,画船儿天边至，酒旗儿风外飐,7,3,张养浩《水仙子·咏江南》,画船天边至，酒旗风中扬
161,江山信美，终非吾土，问何日是归年？,8,3,王恽《平湖乐·采菱人语隔秋烟》,江山虽美非吾土，问归年
162,歌舞尊前，繁华镜里，暗换青青发,8,3,萨都剌《念奴娇·登石头城次东坡韵》,歌舞镜里，青丝暗换
163,石头城上，望天低吴楚，眼空无物,8,3,萨都剌《念奴娇·登石头城次东坡韵》,石头城望天，眼空无物
164,还将旧来意，怜取眼前人,6,3,王实甫《西厢记·长亭送别》,旧意怜眼前人
165,辞柯霜叶，飞来就我题红,6,3,朱庭玉《天净沙·秋》,霜叶辞柯，飞来题红
166,空一缕余香在此，盼千金游子何之,8,3,徐再思《蟾宫曲·春情》,余香空留，盼游子归
167,到如今、只有蒋山青，秦淮碧！,7,3,萨都剌《满江红·金陵怀古》,蒋山青秦淮碧
168,娇娇嫩嫩，停停当当人人,6,3,乔吉《天净沙·即事》,娇嫩停当人人
169,酸斋笑我，我笑酸斋,5,3,张可久《殿前欢·次酸斋韵》,酸斋笑我，我笑酸斋
170,春草细还生，春雏养渐成,6,3,揭傒斯《画鸭》,春草细生，雏鸟渐成
171,风送梅花过小桥，飘飘,5,3,赵显宏《昼夜乐·冬》,风送梅过桥，飘飘
172,去年五月黄梅雨，曾典袈裟籴米归,8,3,与恭《思母》,黄梅雨典衣籴米
173,黄芦岸白蘋渡口，绿柳堤红蓼滩头,8,3,白朴《沉醉东风·渔夫》,黄芦白蘋渡，绿柳红蓼滩
174,梅花笑人偏弄影，月沉时一般孤零,8,3,马致远《落梅风·人初静》,梅笑人弄影，月沉同孤零
175,太行如砺，黄河如带，等是尘埃,7,3,刘因《人月圆·茫茫大块洪炉里》,太行如石黄河带，终是尘
176,一春鱼雁无消息，则见双燕斗衔泥,8,3,关汉卿《大德歌·春》,一春无消息，双燕衔泥
177,孔林乔木，吴宫蔓草，楚庙寒鸦,7,3,张可久《人月圆·山中书事》,孔林吴宫楚庙，乔木寒鸦
178,贤的是他，愚的是我，争甚么？,7,3,关汉卿《四块玉·闲适》,贤是他愚是我，争什么
179,城雪初消荠菜生，角门深巷少人行,8,3,杨载《到京师》,城雪消荠生，深巷少人行
180,红妆肯为苍生计，女妖娆能有几？,7,3,张可久《水仙子·怀古》,红妆为苍生，女杰能有几
181,凉月横舟，银河浸练，万里秋容如拭,8,3,张埜《夺锦标·七夕》,凉月银河，万里秋如拭
182,忘忧草，含笑花，劝君闻早冠宜挂,8,3,白朴《庆东原·忘忧草》,忘忧草含笑花，劝君早隐
183,钗分凤凰，杯斟鹦鹉，人拆鸳鸯,7,3,赵善庆《普天乐·秋江忆别》,钗分杯斟，人拆鸳鸯
184,去年人在凤凰池，银烛夜弹丝,7,3,萨都剌《小阑干·去年人在凤凰池》,去年凤凰池，银烛夜弹丝
185,对青山强整乌纱,4,3,张可久《蟾宫曲·九日》,对青山整乌纱
186,六代豪华，春去也、更无消息,7,3,萨都剌《满江红·金陵怀古》,六代豪华春去，无消息
187,凤凰台上暮云遮，梅花惊作黄昏雪,8,3,白朴《驻马听·吹》,凤凰台暮云遮，梅惊作雪
188,几许年华，三生醉梦，六月凉秋,7,3,卢挚《蟾宫曲·扬州汪右丞席上即事》,年华醉梦，六月凉秋
189,钓鱼子陵，思莼季鹰，笑我飘零,7,3,张可久《普天乐·秋怀》,子陵季鹰笑我飘零
190,白云来往青山在，对酒开怀,6,3,张可久《殿前欢·次酸斋韵》,白云青山，对酒开怀
191,渺渺烟波一叶舟，西风落木五湖秋,8,3,赵孟頫《渔父词二首·其一》,烟波一叶舟，西风五湖秋
192,鄂王坟上草离离，秋日荒凉石兽危,8,3,赵孟頫《岳鄂王墓》,鄂王坟草离，石兽危
193,孤舟夜泊洞庭边，灯火青荧对客船,8,3,孙周卿《水仙子·舟中》,孤舟夜泊洞庭，灯火对船
194,何处它年寄此生，山中江上总关情,8,3,虞集《院中独坐》,何处寄此生？山水总关情
195,访戴归来，寻梅懒去，独钓无聊,7,3,薛昂夫《蟾宫曲·雪》,访戴懒寻梅，独钓无聊
196,叩枻长歌，嫦娥欲下，万里挥冰雪,8,3,赵秉文《大江东去·用东坡先生韵》,叩枻长歌，嫦娥欲下冰雪
197,两岸桃花烘日出，四围高柳到天垂,8,3,姜彧《浣溪沙·山滴岚光水拍堤》,两岸桃花烘日，高柳垂天
198,扫却石边云，醉踏松根月,6,3,吴西逸《清江引·秋居》,扫云踏松月
199,牛羊散漫落日下，野草生香乳酪甜,8,3,萨都剌《上京即事五首·其三》,牛羊落日野草香
200,俏冤家，在天涯，偏那里绿杨堪系马,8,3,关汉卿《大德歌·夏》,俏冤家天涯，绿杨系马
201,南阜小亭台，薄有山花取次开,7,3,虞集《南乡一剪梅·招熊少府》,南阜小亭山花开
202,人静也，一声吹落江楼月,6,3,白朴《驻马听·吹》,人静吹落江楼月
203,残花酝酿蜂儿蜜，细雨调和燕子泥,8,3,胡祗遹《阳春曲·春景》,残花酿蜜，细雨调泥
204,雨晴云散，满江明月,5,3,卢挚《节节高·题洞庭鹿角庙壁》,雨晴月明满江
205,清溪一叶舟，芙蓉两岸秋,6,3,赵孟頫《后庭花·清溪一叶舟》,清溪一叶舟，芙蓉两岸秋
206,题红叶清流御沟，赏黄花人醉歌楼,8,3,卢挚《沉醉东风·重九》,题红叶赏黄花，人醉歌楼
207,酒杯深，故人心，相逢且莫推辞饮,8,3,马致远《拨不断·酒杯深》,酒杯深故人心，莫辞饮
208,坐睡船自流，云深一蓑小,6,3,陈孚《江天暮雪》,船自流云深，蓑衣小
209,夜深交颈效鸳鸯，锦被翻红浪,7,3,王和卿《小桃红·胖妓》,夜深交颈鸳鸯，锦被红浪
210,云间玉兔，水面苍龙,5,3,徐再思《普天乐·垂虹夜月》,云间玉兔，水面苍龙
211,云笼月，风弄铁，两般儿助人凄切,8,3,马致远《寿阳曲·云笼月》,云笼月风弄铁，助人凄切
212,对黄花人自羞，花依旧，人比黄花瘦,8,3,张养浩《殿前欢·对菊自叹》,对花自羞，人比花瘦
213,问从来谁是英雄？,4,3,查德卿《蟾宫曲·怀古》,问谁是英雄？农渔二翁
214,一个农夫，一个渔翁,5,3,查德卿《蟾宫曲·怀古》,光耀乾坤，印透山河
215,照彻乾坤，印透山河,5,3,张养浩《折桂令·中秋》,溪斜山遮人去
216,溪又斜，山又遮，人去也！,6,3,关汉卿《四块玉·别情》,两种风流一家作
217,两种风流，一家制作,5,3,王旭《踏莎行·雪中看梅花》,画堂红袖倚，华发不胜簪
218,画堂红袖倚清酣，华发不胜簪,7,3,虞集《风入松·寄柯敬仲》,鹦鹉洲住不识字渔父
219,侬家鹦鹉洲边住，是个不识字渔父,8,3,白贲《鹦鹉曲·渔父》,浪花扁舟睡煞烟雨
220,浪花中一叶扁舟，睡煞江南烟雨,7,3,白贲《鹦鹉曲·渔父》,梦断罗袜，情伤琵琶
221,梦断陈王罗袜，情伤学士琵琶,7,3,李致远《红绣鞋·晚秋》,总是离人泪
222,总是离人泪,3,3,王实甫《西厢记·长亭送别》,江城风流月满楼
223,江城歌吹风流，雨过平山，月满西楼,8,3,卢挚《蟾宫曲·扬州汪右丞席上即事》,远是非寻潇洒
224,远是非，寻潇洒,4,3,张可久《四块玉·乐闲》,羞花闭月，不恁魂消
225,羞花闭月，沉鱼落雁，不恁也魂消,8,3,杨果《小桃红·采莲女》,淇南岁寒故人抱
226,邂逅淇南，岁寒独在，故人襟抱,7,3,王恽《水龙吟·送焦和之赴西夏行省》,燕足留线，鸾影团扇恼
227,伤情燕足留红线，恼人鸾影闲团扇,8,3,张可久《塞鸿秋·春情》,采菱语隔烟，波静如练
228,采菱人语隔秋烟，波静如横练,7,3,王恽《平湖乐·采菱人语隔秋烟》,证候来时何时？
229,证候来时，正是何时？,5,3,徐再思《蟾宫曲·春情》,长门柳丝伤心树
230,长门柳丝千万缕，总是伤心树,7,3,曹德《清江引·长门柳丝千万结》,望西都意踌躇
231,望西都，意踌躇,4,3,张养浩《山坡羊·潼关怀古》,乳鸦啼破韶华
232,声声啼乳鸦，生叫破韶华,6,3,王元鼎《醉太平·寒食》,晓晚风阵，花落尽？
233,晓来一阵，晚来一阵，难道都吹落？,8,3,顾德辉《青玉案·春寒恻恻春阴薄》,风雨潇潇，陈抟睡不着
234,风飘飘，雨潇潇，便做陈抟睡不着,8,3,关汉卿《大德歌·秋》,半窗幽梦钱塘高唐
235,半窗幽梦微茫，歌罢钱塘，赋罢高唐,8,3,郑光祖《蟾宫曲·梦中作》,画船载春去，空留江月
236,画船儿载将春去也，空留下半江明月,8,3,卢挚《寿阳曲·别朱帘秀》,寄与不寄妾身难
237,寄与不寄间，妾身千万难,6,3,姚燧《凭阑人·寄征衣》,说英雄谁是英雄？
238,说英雄谁是英雄？,4,3,张鸣善《水仙子·讥时》,偌长粗胖压扁东阳
239,偌长偌大，偌粗偌胖，压扁沈东阳,8,3,王和卿《小桃红·胖妓》,霓裳乱中原
240,霓裳便是中原乱,4,3,马致远《四块玉·马嵬坡》,知音三五痛饮妨
241,知音三五人，痛饮何妨碍？,6,3,贯云石《清江引·弃微名去来心快哉》,生同衾死同椁
242,我与尔生同一个衾，死同一个椁！,7,3,管道升《我侬词》,不须新亭望，洒泪不如前
243,不须更上新亭望，大不如前洒泪时,8,3,虞集《挽文山丞相》,南渡轻社稷，中原望旌旗
244,南渡君臣轻社稷，中原父老望旌旗,8,3,赵孟頫《岳鄂王墓》,黄鹂惊梦青鸟唤春
245,黄鹂惊梦破，青鸟唤春还,6,3,张弘范《临江仙·忆旧》,东篱半世蹉跎，竹亭婆娑
246,东篱半世蹉跎，竹里游亭，小宇婆娑,8,3,马致远《蟾宫曲·叹世二首》,落日松径鬼火明灭
